"No.","Time","Source","Destination","Protocol","Length","Info"
"55","39.679031976","216.58.200.164","10.61.68.21","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"56","39.679067534","10.61.68.21","216.58.200.164","TCP","66","39452  >  443 [ACK] Seq=577 Ack=213 Win=64128 Len=0 TSval=905079943 TSecr=1035786018"
"57","39.679496949","10.61.68.21","216.58.200.164","TLSv1.3","130","Change Cipher Spec, Application Data"
"58","39.681841572","10.61.68.21","216.58.200.164","TLSv1.3","604","Application Data, Application Data"
"59","39.682899875","216.58.200.164","10.61.68.21","TCP","66","443  >  39452 [ACK] Seq=213 Ack=641 Win=64832 Len=0 TSval=1035786028 TSecr=905079943"
"60","39.694033791","216.58.200.164","10.61.68.21","TCP","66","443  >  39452 [ACK] Seq=213 Ack=1179 Win=64320 Len=0 TSval=1035786028 TSecr=905079946"
"61","39.698006225","216.58.200.164","10.61.68.21","TLSv1.3","630","Application Data, Application Data"
"62","39.698028827","216.58.200.164","10.61.68.21","TLSv1.3","97","Application Data"
"63","39.698099514","10.61.68.21","216.58.200.164","TCP","66","39452  >  443 [ACK] Seq=1179 Ack=808 Win=64128 Len=0 TSval=905079962 TSecr=1035786038"
"64","39.698214374","10.61.68.21","216.58.200.164","TLSv1.3","97","Application Data"
"65","39.717596734","216.58.200.164","10.61.68.21","TCP","66","443  >  39452 [ACK] Seq=808 Ack=1210 Win=64320 Len=0 TSval=1035786048 TSecr=905079962"
"66","39.740445763","10.61.68.21","216.58.200.164","TCP","74","39454  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=905080004 TSecr=0 WS=128"
"67","39.746167829","216.58.200.164","10.61.68.21","TCP","74","443  >  39454 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1363 WS=64 SACK_PERM=1 TSval=906759367 TSecr=905080004"
"68","39.746206693","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=905080010 TSecr=906759367"
"69","39.746378966","10.61.68.21","216.58.200.164","TLSv1.3","642","Client Hello"
"70","39.754774426","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=1 Ack=577 Win=64896 Len=0 TSval=906759377 TSecr=905080010"
"71","39.763550490","216.58.200.164","10.61.68.21","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"72","39.763581643","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=577 Ack=213 Win=64128 Len=0 TSval=905080027 TSecr=906759387"
"73","39.763970421","10.61.68.21","216.58.200.164","TLSv1.3","130","Change Cipher Spec, Application Data"
"74","39.765300126","10.61.68.21","216.58.200.164","TLSv1.3","152","Application Data"
"75","39.765395624","10.61.68.21","216.58.200.164","TLSv1.3","1405","Application Data"
"76","39.765589740","10.61.68.21","216.58.200.164","TLSv1.3","182","Application Data"
"77","39.767326759","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=213 Ack=641 Win=64832 Len=0 TSval=906759387 TSecr=905080028"
"78","39.768484745","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=213 Ack=727 Win=64768 Len=0 TSval=906759397 TSecr=905080029"
"79","39.768497379","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=213 Ack=2066 Win=63424 Len=0 TSval=906759397 TSecr=905080029"
"80","39.769029960","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=213 Ack=2182 Win=63296 Len=0 TSval=906759397 TSecr=905080029"
"81","39.774240227","216.58.200.164","10.61.68.21","TLSv1.3","630","Application Data, Application Data"
"82","39.774253203","216.58.200.164","10.61.68.21","TLSv1.3","97","Application Data"
"83","39.774322646","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2182 Ack=808 Win=64128 Len=0 TSval=905080038 TSecr=906759397"
"84","39.774428035","10.61.68.21","216.58.200.164","TLSv1.3","97","Application Data"
"85","39.780580728","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=808 Ack=2213 Win=63296 Len=0 TSval=906759407 TSecr=905080038"
"86","39.796242205","216.58.200.164","10.61.68.21","TLSv1.3","1063","Application Data, Application Data, Application Data, Application Data"
"87","39.796963965","10.61.68.21","216.58.200.164","TLSv1.3","105","Application Data"
"88","39.801208649","10.61.68.21","216.58.200.164","TLSv1.3","394","Application Data"
"89","39.813914064","216.58.200.164","10.61.68.21","TCP","66","443  >  39452 [ACK] Seq=1805 Ack=1249 Win=64256 Len=0 TSval=1035786148 TSecr=905080061"
"90","39.813965877","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=808 Ack=2541 Win=62976 Len=0 TSval=906759427 TSecr=905080065"
"91","39.880193952","216.58.200.164","10.61.68.21","TLSv1.3","295","Application Data"
"92","39.880244642","216.58.200.164","10.61.68.21","TLSv1.3","97","Application Data"
"93","39.880253884","216.58.200.164","10.61.68.21","TLSv1.3","105","Application Data"
"94","39.880366875","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2541 Ack=1107 Win=64128 Len=0 TSval=905080144 TSecr=906759487"
"95","39.882390025","10.61.68.21","216.58.200.164","TLSv1.3","105","Application Data"
"96","39.894993703","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=1107 Ack=2580 Win=62912 Len=0 TSval=906759517 TSecr=905080146"
"97","39.895032398","216.58.200.164","10.61.68.21","TLSv1.3","132","Application Data"
"98","39.896293770","216.58.200.164","10.61.68.21","TLSv1.3","97","Application Data"
"99","39.896435441","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=1204 Win=64128 Len=0 TSval=905080160 TSecr=906759517"
"100","39.984212226","216.58.200.164","10.61.68.21","TLSv1.3","1764","Application Data, Application Data"
"101","39.984266865","216.58.200.164","10.61.68.21","TCP","1417","443  >  39454 [ACK] Seq=2902 Ack=2580 Win=62912 Len=1351 TSval=906759577 TSecr=905080160 [TCP segment of a reassembled PDU]"
"102","39.984278352","216.58.200.164","10.61.68.21","TLSv1.3","1417","Application Data [TCP segment of a reassembled PDU]"
"103","39.984287694","216.58.200.164","10.61.68.21","TLSv1.3","1417","Application Data [TCP segment of a reassembled PDU]"
"104","39.984292980","216.58.200.164","10.61.68.21","TLSv1.3","117","Application Data"
"105","39.984301713","216.58.200.164","10.61.68.21","TLSv1.3","1220","Application Data"
"106","39.984313365","216.58.200.164","10.61.68.21","TLSv1.3","1434","Application Data"
"107","39.984328804","216.58.200.164","10.61.68.21","TLSv1.3","2802","Application Data, Application Data"
"108","39.984338354","216.58.200.164","10.61.68.21","TCP","1294","443  >  39454 [PSH, ACK] Seq=12264 Ack=2580 Win=62912 Len=1228 TSval=906759587 TSecr=905080160 [TCP segment of a reassembled PDU]"
"109","39.984505701","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=13492 Win=64128 Len=0 TSval=905080248 TSecr=906759577"
"110","40.049502918","216.58.200.164","10.61.68.21","TLSv1.3","3089","Application Data, Application Data, Application Data, Application Data"
"111","40.049547741","216.58.200.164","10.61.68.21","TLSv1.3","1434","Application Data"
"112","40.049558510","216.58.200.164","10.61.68.21","TLSv1.3","1434","Application Data"
"113","40.049567669","216.58.200.164","10.61.68.21","TLSv1.3","1434","Application Data"
"114","40.049582816","216.58.200.164","10.61.68.21","TLSv1.3","4170","Application Data, Application Data, Application Data"
"115","40.049596901","216.58.200.164","10.61.68.21","TLSv1.3","1434","Application Data"
"116","40.049703186","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=26091 Win=64128 Len=0 TSval=905080313 TSecr=906759617"
"117","40.062363559","216.58.200.164","10.61.68.21","TCP","1417","443  >  39454 [ACK] Seq=26091 Ack=2580 Win=62912 Len=1351 TSval=906759677 TSecr=905080313 [TCP segment of a reassembled PDU]"
"118","40.062403967","216.58.200.164","10.61.68.21","TLSv1.3","1417","Application Data [TCP segment of a reassembled PDU]"
"119","40.062526638","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=28793 Win=64128 Len=0 TSval=905080326 TSecr=906759677"
"120","40.064278693","216.58.200.164","10.61.68.21","TLSv1.3","10874","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"121","40.064315143","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=39601 Win=85760 Len=0 TSval=905080328 TSecr=906759677"
"122","40.078567377","216.58.200.164","10.61.68.21","TLSv1.3","2768","Application Data, Application Data"
"123","40.078614286","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=42303 Win=91136 Len=0 TSval=905080342 TSecr=906759687"
"124","40.093728209","216.58.200.164","10.61.68.21","TLSv1.3","6821","Application Data, Application Data, Application Data, Application Data, Application Data"
"125","40.093786124","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=49058 Win=104704 Len=0 TSval=905080358 TSecr=906759697"
"126","40.095589190","216.58.200.164","10.61.68.21","TLSv1.3","4119","Application Data, Application Data, Application Data, Application Data"
"127","40.095630620","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=53111 Win=112768 Len=0 TSval=905080359 TSecr=906759697"
"128","40.095663219","216.58.200.164","10.61.68.21","TLSv1.3","4119","Application Data, Application Data, Application Data"
"129","40.095680019","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=57164 Win=120832 Len=0 TSval=905080359 TSecr=906759707"
"130","40.112356681","216.58.200.164","10.61.68.21","TLSv1.3","2768","Application Data, Application Data, Application Data, Application Data"
"131","40.112411645","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=59866 Win=126336 Len=0 TSval=905080376 TSecr=906759717"
"132","40.112609796","216.58.200.164","10.61.68.21","TLSv1.3","4119","Application Data, Application Data, Application Data"
"133","40.112629255","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=63919 Win=131584 Len=0 TSval=905080376 TSecr=906759717"
"134","40.126068376","216.58.200.164","10.61.68.21","TLSv1.3","2265","Application Data, Application Data, Application Data, Application Data"
"135","40.126098264","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2580 Ack=66118 Win=133632 Len=0 TSval=905080390 TSecr=906759727"
"136","40.127217242","10.61.68.21","216.58.200.164","TLSv1.3","105","Application Data"
"137","40.134462750","10.61.68.21","216.58.200.164","TLSv1.3","439","Application Data"
"138","40.136456132","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=66118 Ack=2619 Win=62912 Len=0 TSval=906759757 TSecr=905080391"
"139","40.143167423","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=66118 Ack=2992 Win=62528 Len=0 TSval=906759767 TSecr=905080398"
"140","40.172875772","10.61.68.21","192.168.108.122","DNS","96","Standard query 0x1fd6 A lh3.googleusercontent.com OPT"
"141","40.227741497","192.168.108.122","10.61.68.21","DNS","141","Standard query response 0x1fd6 A lh3.googleusercontent.com CNAME googlehosted.l.googleusercontent.com A 172.217.166.1 OPT"
"142","40.228612001","10.61.68.21","172.217.166.1","TCP","74","43708  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1348189544 TSecr=0 WS=128"
"143","40.232069375","172.217.166.1","10.61.68.21","TCP","74","443  >  43708 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1363 WS=64 SACK_PERM=1 TSval=241164848 TSecr=1348189544"
"144","40.232125792","10.61.68.21","172.217.166.1","TCP","66","43708  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1348189548 TSecr=241164848"
"145","40.232596584","10.61.68.21","172.217.166.1","TLSv1.3","653","Client Hello"
"146","40.249270470","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=1 Ack=588 Win=64896 Len=0 TSval=241164858 TSecr=1348189548"
"147","40.256055050","216.58.200.164","10.61.68.21","TLSv1.3","132","Application Data"
"148","40.256097430","216.58.200.164","10.61.68.21","TLSv1.3","97","Application Data"
"149","40.256106358","216.58.200.164","10.61.68.21","TLSv1.3","105","Application Data"
"150","40.256227296","10.61.68.21","216.58.200.164","TCP","66","39454  >  443 [ACK] Seq=2992 Ack=66254 Win=133632 Len=0 TSval=905080520 TSecr=906759867"
"151","40.257466322","10.61.68.21","216.58.200.164","TLSv1.3","105","Application Data"
"152","40.262064601","172.217.166.1","10.61.68.21","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"153","40.262118404","10.61.68.21","172.217.166.1","TCP","66","43708  >  443 [ACK] Seq=588 Ack=213 Win=64128 Len=0 TSval=1348189578 TSecr=241164868"
"154","40.262644168","10.61.68.21","172.217.166.1","TLSv1.3","130","Change Cipher Spec, Application Data"
"155","40.266659300","10.61.68.21","172.217.166.1","TLSv1.3","523","Application Data, Application Data"
"156","40.287929917","10.61.68.21","172.217.166.1","TCP","523","[TCP Retransmission] 43708  >  443 [PSH, ACK] Seq=652 Ack=213 Win=64128 Len=457 TSval=1348189604 TSecr=241164868"
"157","40.291715063","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=66254 Ack=3031 Win=62464 Len=0 TSval=906759887 TSecr=905080521"
"158","40.291751501","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=213 Ack=652 Win=64832 Len=0 TSval=241164888 TSecr=1348189578"
"159","40.291763014","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=213 Ack=1109 Win=64384 Len=0 TSval=241164888 TSecr=1348189582"
"160","40.291774988","172.217.166.1","10.61.68.21","TLSv1.3","630","Application Data, Application Data"
"161","40.291796487","172.217.166.1","10.61.68.21","TLSv1.3","97","Application Data"
"162","40.291981070","10.61.68.21","172.217.166.1","TCP","66","43708  >  443 [ACK] Seq=1109 Ack=808 Win=64128 Len=0 TSval=1348189608 TSecr=241164888"
"163","40.292187802","10.61.68.21","172.217.166.1","TLSv1.3","97","Application Data"
"164","40.325760431","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=808 Ack=1140 Win=64384 Len=0 TSval=241164928 TSecr=1348189608"
"165","40.374746540","172.217.166.1","10.61.68.21","TLSv1.3","301","Application Data"
"166","40.374786400","172.217.166.1","10.61.68.21","TLSv1.3","136","Application Data, Application Data"
"167","40.375168810","10.61.68.21","172.217.166.1","TCP","66","43708  >  443 [ACK] Seq=1140 Ack=1113 Win=64128 Len=0 TSval=1348189691 TSecr=241164978"
"168","40.375928882","10.61.68.21","172.217.166.1","TLSv1.3","105","Application Data"
"169","40.377673175","10.61.68.21","172.217.166.1","TLSv1.3","101","Application Data"
"170","40.405667741","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=1113 Ack=1179 Win=64320 Len=0 TSval=241164998 TSecr=1348189692"
"171","40.405693714","172.217.166.1","10.61.68.21","TCP","66","443  >  43708 [ACK] Seq=1113 Ack=1214 Win=64320 Len=0 TSval=241164998 TSecr=1348189693"
"172","41.709787436","10.61.68.21","192.168.108.122","DNS","87","Standard query 0xd2d3 A go.microsoft.com OPT"
"173","41.709873816","10.61.68.21","192.168.108.122","DNS","87","Standard query 0x7460 AAAA go.microsoft.com OPT"
"174","41.763070311","192.168.108.122","10.61.68.21","DNS","182","Standard query response 0xd2d3 A go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net A 118.214.35.20 OPT"
"175","41.775143362","192.168.108.122","10.61.68.21","DNS","222","Standard query response 0x7460 AAAA go.microsoft.com CNAME go.microsoft.com.edgekey.net CNAME e11290.dspg.akamaiedge.net AAAA 2600:140f:3:4a2::2c1a AAAA 2600:140f:3:490::2c1a OPT"
"176","41.776281328","10.61.68.21","118.214.35.20","TCP","74","46116  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2233053261 TSecr=0 WS=128"
"177","41.790297189","118.214.35.20","10.61.68.21","TCP","74","443  >  46116 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1363 WS=64 SACK_PERM=1 TSval=715435497 TSecr=2233053261"
"178","41.790369904","10.61.68.21","118.214.35.20","TCP","66","46116  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2233053275 TSecr=715435497"
"179","41.790607269","10.61.68.21","118.214.35.20","TLSv1.2","583","Client Hello"
"180","41.810765681","10.61.68.21","216.58.200.164","TLSv1.3","234","Application Data"
"181","41.814129535","118.214.35.20","10.61.68.21","TCP","66","443  >  46116 [ACK] Seq=1 Ack=518 Win=64960 Len=0 TSval=715435507 TSecr=2233053275"
"182","41.841808971","118.214.35.20","10.61.68.21","TLSv1.2","203","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"183","41.841884126","10.61.68.21","118.214.35.20","TCP","66","46116  >  443 [ACK] Seq=518 Ack=138 Win=64128 Len=0 TSval=2233053327 TSecr=715435527"
"184","41.842294492","10.61.68.21","118.214.35.20","TLSv1.2","229","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"185","41.848579789","216.58.200.164","10.61.68.21","TCP","66","443  >  39454 [ACK] Seq=66254 Ack=3199 Win=62336 Len=0 TSval=906761437 TSecr=905082075"
"186","41.859623814","118.214.35.20","10.61.68.21","TCP","66","443  >  46116 [ACK] Seq=138 Ack=681 Win=64832 Len=0 TSval=715435567 TSecr=2233053327"
"187","41.869061538","118.214.35.20","10.61.68.21","TLSv1.2","694","Application Data, Encrypted Alert"
"188","41.883538794","118.214.35.20","10.61.68.21","TCP","66","443  >  46116 [FIN, ACK] Seq=766 Ack=681 Win=64832 Len=0 TSval=715435567 TSecr=2233053327"
"189","41.883585262","10.61.68.21","118.214.35.20","TCP","66","46116  >  443 [ACK] Seq=681 Ack=767 Win=64128 Len=0 TSval=2233053368 TSecr=715435567"
"190","41.891740614","10.61.68.21","192.168.108.122","DNS","106","Standard query 0xec78 A download.visualstudio.microsoft.com OPT"
"191","41.891867317","10.61.68.21","118.214.35.20","TCP","66","46116  >  443 [FIN, ACK] Seq=681 Ack=767 Win=64128 Len=0 TSval=2233053377 TSecr=715435567"
"192","41.891986939","10.61.68.21","192.168.108.122","DNS","106","Standard query 0x4e1c AAAA download.visualstudio.microsoft.com OPT"
"193","41.908268695","118.214.35.20","10.61.68.21","TCP","66","443  >  46116 [ACK] Seq=767 Ack=682 Win=64832 Len=0 TSval=715435617 TSecr=2233053377"
"194","41.930383639","216.58.200.164","10.61.68.21","TLSv1.3","340","Application Data"
"195","41.931518950","216.58.200.164","10.61.68.21","TLSv1.3","1160","Application Data"
